0,4.8333,5.4,5.75,6.5,4.5,4.7143,5.3333,6,4.8,3.4,5.25,0,2,3.5,5.5,6.5,6,7,5,4,6,7,0,4.75,0,6,6,7,6,0,4.5,7.5,4.5,4.75,7.5,4,5,4.5,4.75,2,5,1,4.3333,8,6,0,7.3333,3,0,2,2,4.5,6,4.3333,4.5,1.5,7,5.3333,2,6,4.3333,6,3,0,4.6667,0,5,6.25,4,4,5,2.5,2.5,3.6667,0,0,2.5,4.75,6,3,5,2.3333,6,6.3333,5.3333,5,4,6,6,6,5,8,4.75,3,4.75,4,4,4.5,5.4286,6,3,3.5,5,5,2,5.6667,6.5,3,3.75,4,3,5,0,5.6,4,6,7,3.5,9,6.75,7,5,6.6667,8.4,7,0,8,0,9,4,6.5,4.5,4.6667,0,6.6667,7.1429,0,0,0,6.5,3,5,7,1.5,2,4,3.5,1.6667,3.5,0,6,4.3333,4.5,3,7,8,0,6.7143,4,8,6,5.5,7,2.75,4,5,7,5,6,2.1667,0,2,2,6,5.5,7,2,5,5,3.5,2.5,6.5,6.5,4.25,3.75,4.25,4,5.6,6,3.6667,4.5,3,7,9,0,2,4,6,5.3333,4,5.5,0,1,6.5,3,6,7,4.5,2,4,1.5,3.75,7,1.3333,4,2,3,6.6,6.5,4.5,7,0,4,7.6667,5.5,4,5,0,2,5,0,2.5,1,0,3,6,3.75,4.5,3.5,0,6,0,7,7.3333,4.5,0,6,4.3333,3.3333,5.5,6.3333,5.5,5.5,4,4,0,3.5,1,2,0,6,2.5,7,2.6667,1,0,3.5,9,1.6667,1.6667,0,3,2,6,5.3333,2.5,8,3.25,2.5,3,2,3,0,6,5.3333,4,5.5,0,4,5,1.3333,2.5,5.6667,6,2,0,2.5,5,0,3,3.25,4,6,4,6,0,0,3.5,1,4,2.5,3,0,0,1.5,5.5,2.6667,4,2.5,3.4,8,2,3,6,9,4.5,3,2,5.3333,1,3,0,3,3,6,2,1,5,5,2,2,0,0,2,0,4,0,7,7,2,6.6667,4.3333,4.5,5,4.5,5.5,6,3,0
4.8333,0,6.25,8,4,5,3.5,2,4.25,5,4.1667,4.5,3,5,0,4,0,1,3,6,5.5,2,4,6,4,2.5,5.3333,0,8.6667,6.25,8,7.6667,4,6.6667,6.25,3,5.5,4,4.3333,0,4.6667,6,0,6.3333,3,5,1,0,4.3333,6.3333,6.3333,0,3,6.6667,6,5,2.6667,1,7.25,2,4,5,2.5,3.4,4,2.5,2,5.5,3.75,5,2,3,3.6667,0,5,5,5.6667,4,3,6,1,0,1.6667,0,3,7.5,5,8,5.5,5,4.5,5.5,6,1,4,0,6,2,6,8.75,4.1667,0,3.75,6.5,6,5.6667,0,5.1667,6.3333,0,2,2,4,3.6667,2.5,3,6,6,0,7.6667,4,3,0,0,5,1,5.6667,3.8,3.6667,1,2,3.6667,3.6667,2,3,0,3.5,4.6667,0,2,1,0,5,2.25,4,4,4,6,5,3,3.5,5,3.25,0,7,1,0,6,0,4.25,1,4.25,4.5,4,6,4.5,3.6667,3.3333,2,6,2,1,3.5,3.5,0,0,3.2,4,0,4,4,5,3.3333,4,1.5,2,3,3,0,3,6,5.5,2.8,5.5,8,6.6667,3.75,4.5,4.5,3,5,5.5,4.6667,5.4,6,4,7,4.25,6,0,3,4.5,4,5.3333,3,3.3333,0,0,3,4,2.5,4,6.5,3.5,0,3,3,4.75,0,2,0,1,3,0,2,0,6.5,7.5,2,3,0,2,4,5,4.5,5,3,1.5,2,6,3,2.5,3,2,3,4.6667,4,6,7,2,2.5,3,2,5,4,4,2.6,4.3333,4,5,3.75,3.25,3,3,1,2.6,4,2,0,3.5,4,6,7,4.3333,3.3333,4,6.5,2.5,4.5,3,6,5.5,3.25,3.5,3.8,6,4,0,8.5,3.6667,4,2,6.5,2,3.3333,1,6,0,0,3.25,5,5,5,4,2,3.3333,2.25,0,2,1.5,0,0,0,2,4.8,4,5,4,0,1.75,2,4,6,3,2,1.5,1,2,5.5,2.3333,1,4,5,1.6667,4,2,5,0,5.8,2,2.5,4,3,3,4,4.5,1,0,4,3
5.4,6.25,0,4.5,5.75,6.25,4.6,6.8333,7.3333,4,0,3,4,8,7,7,3,4,3,5,0,4.2,5,6,1,3,0,6,0,3.6667,5.5,4,2.5,5,5,3.3333,7.5,3,3,2.5,0,9,0,0,0,3.3333,0,5,2.8333,3,3,0,2.5,8,6,4.5,3,3,3.75,4,2,4,4,4.5,2,4,3.5,1.5,1,2,3,2.5,3.5,3,0,3.3333,3,3,0,4.5,0,3,2,7.3333,0,3.8,5.8,3,4.6667,3.5,0,4,5,2.8,5,0,2,4,5,4.75,3.5,0,1,9,0,1,3.6667,4,0,0,6,5.5,4.6667,0,2,3,2,7,6,5,6.5,0,0,7,2,5.75,4,5.2,4,6.6667,4.25,6.6667,4,4,6.25,3,3.5,6,3,6,4.5,3,2,4,4.3333,5.3333,5,4,5.6667,3,4.75,3,5,4,7,2,3,0,0,5,4,6,3,7,5,0,7,3,3.3333,6.5,7,4,2,5,0,2,4,2.5,1,5.6667,6,5,5,5,0,6.6667,2.6667,3,2,5,3.1667,7,0,5,4.5,0,7.5,6,2,6,4.5,1.5,7,2,1,0,0,0,5.5,2.5,7.5,7.6667,2,0,7,3.5,0,4.6,4.8,4,0,7,1,8,7,5,0,2.6667,4.75,4,6.5,0,6,5,3,1.3333,0,8.5,4,0,3,3,5,6.5,3.4,6,4.3333,0,3.5,2,0,5,2,0,3,6,5,0,1,6,4,3,0,3.25,0,3.5,0,6.5,4,1,4,4,7,5.5,4.6,8,3.5,0,0,0,3,5.6667,3,3.5,0,3.8,3,3,5.6667,3,5.3333,0,1.6667,4,6,4,4,3,4,2,1.5,0,6,5.5,3.5,7,6,3,5,5,3.8333,3.5,2.5,2.8,3.5,4,4.6,5.5,3.5,4,6.5,4,0,4,3,4,4,2.6667,3.5,2,2.5,4.5,1.75,0,2.5,3.3333,2,0,3.6667,2,0,0,0,0,3,2,5,0,6,3.5,3.5,5,2,3,5.5,5.3333,0,0,4,4
5.75,8,4.5,0,4.5,6.8,7.3333,5,7.25,6.2,6.25,5.6667,5,5,2,5,6,4,6,0,5.6667,8,5,9,4,3.5,4.6667,8,5,0,4,4.25,4,7,7,2,5.6,4.3333,3,5.6667,6,5.5,5,7,5,5,7,6.3333,7,5.4,6,6.6667,4,4,4,7,4.5,5.4,6,7,5,3,2,0,6.5,2.5,2.5,3.5,3.6667,5.5,7,2.75,7.6667,2,0,5.8333,2.8,2.75,5,5.3333,3.8,2,1,4,3.75,6.5,8,7.75,4,4,6,5.5,7,7.5,5.8333,0,5,0,4.5,4.5,5,3,3,3.3333,6,2,4.5,6,6,7,2,2,6,4,3,5,0,6.6667,5.5,5,2.3333,3,1,3,5.5,1.5,8,5.6667,6.75,4.5,7,7,1,0,4,0,3,6,3,3.6667,0,6.5,5,4,2,0,4,6,4,1,4.5,3.5,3.6,4.3333,0,3,6,0,5,5,7.3333,5,5.5,5,7.25,5.5,7,4,8,3,2,4.5,3,2.6667,4,3,8,6,5.4,2,3.5,4,4,1,5,4.4,2,4,6,7,4,5.3333,7,5,6.5,5.6667,4,1,3.5,3.3333,5.4,0,6,6,0,7,5.3333,7.8,3,7,0,7,4,0,6,5,7.5,2.5,0,7.5,2.6667,4.8333,5,0,4,3,6,0,5,3,4.8,2.6667,2,4,3.3333,5,0,4.5,0,6,0,3,3,3.5,7,0,2.5,3,2.6667,3.5,3,4.75,6.3333,4.4,8,5.5,2.6,9,3,3.5,0,5.3333,5.6667,6,4.5,3.6667,4.6667,3.6667,4,4,4,5,4,3,3.5,2,2.3333,5.75,6,7,0,0,5.5,5.75,5.5,8,8,5.6667,6,0,5,3.6667,0,4.25,4,3.3333,4.5,5.4,4,0,4,5.5,5.6667,0,2,5,0,0,0,3.3333,8,4,5.8333,2,1,3.5,0,5,5.25,5.6667,3,0,2,0,3.3333,3,2.5,2.3333,1.5,5,1,3,3,0,3,2.5,2.75,5,4,6,2,4,4.3333,2,3.1667,0,3,0,0,6.3333,3,3.6667,0,3.75,6,3,6.5,3.6667,0,6.5
6.5,4,5.75,4.5,0,7,7.5,7.25,6,6,4.75,7,2.5,5,7,3.6667,5,0,3,4,4.3333,2.8,3,6.5,6.5,3,7.3333,6.5,2,5,3.6667,5,4.5,6,5.6667,4,6.6667,5,7,5.5,7.3333,6.25,5,5.3333,4,6,0,6.3333,3.3333,6,5,6,1.5,7,4,6,4,0,5,3.5,0,2.5,3,2,2,1,2,3.3333,3,1,1,0,3.25,1.5,3.5,6,2,1,2.75,4,0,5,3,5,0,6,6.5,3.5,6,0,0,5.5,3.5,8,9,7.6667,4,3,6,0,7,3,4.6667,3,3,3.5,0,1,0,6.5,3,2,0,5,4.6667,2.5,0,8,3,6,6,6.5,0,4,3,4.6667,7,0,6,6,5,5.5,3,5.5,6.3333,1,0,0,4,2.6667,2,3.6,3,4,5,2,8,8,5,5,4.3333,5.3333,4,6,6,4,4.4,0,3,7,4,2.5,7,3.75,4.5,5.5,4.5,2.6667,2,2,2.6667,4,0,3.5,6.5,3.5,5,6,4,3,4.5,6,5.5,3,8,5.3333,4,0,3,9,3,1,5,3,0,7,2.8,5,0,4,5,4.5,6.5,6,0,2,5,0,4.6667,4,2,0,6,3,0,3,5.3333,8,4,2,8.5,0,0,0,6,6,0,7,4,5.5,7,3,0,2.5,0,2,0,0,4.2,4,7,2.5,0,3.5,4.5,2.25,6.6667,4.5,0,2.6667,1.25,4,4,6.5,3.5,6,1,2.5,3.6667,3,3.6667,6,7,0,4,0,1.75,2.5,6,0,3,0,6,1.5,0,2.5,3,0,4.5,2.5,2.25,5,3.5,0,0,6,5,0,3.25,4,3.6,0,3,2,6.3333,3,0,4.6667,2.6667,0,3,3,5.5,2.5,4,4,2,2.6667,5,3,3.2,2.5,6,2.75,1,3.5,3.6667,2,2,1,3,4.3333,2.6667,1,3.6,5.5,8,3.5,0,3,4.6667,1.75,1,3,0,3,4,3.5,5,5,0,3,1,2.5,2,4,0,2.3333,1,0,4,3,5,3.6667,3.5,2.6667,3,4,2,4
4.5,5,6.25,6.8,7,0,6.8,9,7.6667,7,7,6.2,5.6667,6.4,0,4,4,6,1,4,4,3.6667,6.2,2.5,0,5.3333,9,8.5,7,4,4,4,6,6,5,0,7,3.6667,0,0,6,2.5,4.6667,9,5,7.5,0,5,3.4,7,8,7,3,0,9,6,1,7,0,6,2.5,0,4,3.75,3.3333,1.3333,3.3333,5.5,0,5,1,2.6667,4,2,4,5,6,0,2,1.5,3.6667,2.3333,2.3333,5,4.5,0,5,5.3333,0,8,6,0,7.5,0,6.6667,3.3333,4,1.5,0,0,3.5,5,7.25,4.5,6.75,4.3333,6,4,0,8.6667,4.5,3,2.5,5.5,4.25,3,7,0,4,5.25,5.25,0,1,6,4,6.5,9,6.5,4,0,0,5,3,5,4.5,0,6,5.5,2.5,5,5,3,5,5.3333,5,8.5,2,5.7143,0,3.75,4,5,7,6.3333,5,7,6,6,0,4.3333,5,1,5.25,3,5.5,5,5,3.5,7,3,7,7,4,5.3333,4,2,4.6667,8,5,4.25,8.5,5.3333,0,5,5,3,7.5,5,0,6,6,7,5,1.5,6,2,3.6667,6.6667,4.25,4,6.5,0,4.5,3,4,4,6.25,5.4,7.5,3,4.5,5.3333,5,4,4.5,0,6,6.6667,4,3,6,7.6667,5.5,4.5,5,6.75,4,8.3333,4,4.8571,8,4,7,3,4,2,3.6667,0,6,1.3333,6.75,5,3,3.1667,3.6667,3,4,0,0,4,1,4,2.25,7,5.25,3.6667,5,7,6,1,0,4,2,5.3333,1.6667,1,3,7.5,2.5,0,1,5.3333,0,0,2.3333,7,3,6.6667,8,2,3,6,3.5,3.5,3.5,4.25,4.5,8,2.5,4,5.5,2.3333,2.5,4.25,4,2,8,4.6667,8.5,2,2.75,7,3,0,0,5,6,5,3.6667,4.5,3,2,2.5,5.5,4.5,5,3.6667,6,7,7,9,5,4.6667,4,1,4.5,7,2,2.6667,4.6,2.6,4.3333,0,3.6667,4,3,2.5,4,4,4.6667,0,3,3,3,0,1.5,3.8333,2,0,3,2,2.6667,2.5,5,3.5,3,3.4,6,2.5,0
4.7143,3.5,4.6,7.3333,7.5,6.8,0,4.6667,5.3333,4,3.9,3.4,2.3333,0,5,3.3333,3.4,4,0,2.6667,6,3,2,1,5,4.5,5,6.5,2.5,0,5,5,7,0,6,6,0,2.6,0,5,0,4.2,3,4,4,4,7,0,4,7,0,4,5.25,0,4,3.6667,3.25,7,5,3,2,2.3333,0,3,6,4,2.3333,6,0,2.5,2.5,2.6667,3.6667,2,4,0,6,1,4,5,0,4,3,5.2,1,4,0,3,1,2,7,4,4,5.25,3,4.5,6,0,1,2.6667,5,4,2,2.75,2,3,4.5,0,5,7,3.5,4,1,0,2,4.5,3.5,5,5.5,7,4,3.5,3,4,5,5,5,2.5,6.75,7,0,5,5,4,0,2,2.25,6,4.5,2.5,3,3,0,3,8,5,0,3,8,6,4.5,5,4.6667,5,3.25,3,1,3,1.5,3.6667,0,2.5,2.3333,3.6667,3,5,4.6667,4.5,4.6667,3.75,0,3.5,3,4,2.6667,0,3,4,5.6667,3.25,6.5,0,3,2,5,0,7,0,4,2,7,4,3,0,7,2,0,4.5,2.5,3,1,0,5,1.3333,3.5,2,0,3,3,7,3.5,2.5,4,4,4,2,4,7,4,1.5,2,4.5,3.5,2,5.3333,3,4.6667,0,4,2,0,4.3333,1,0,3.6667,1.6667,2,2,3.3333,2.25,4,5,2.6667,1.5,6,3.6667,0,3,2.6667,4.5,4.6667,3.5,2.5,4,3,2,5,4.75,8,3.6667,4,7,6,0,2.5,3.4,3.6667,6,4,0,3,2.5,3.5,1.5,1.5,6,4,8,6,6,5.3333,2.6667,8,1,0,3.6667,1,1.5,3.5,4,3.25,0,0,1.5,4.3333,2.6,5,3,0,4.3333,2,5,0,0,3,0,3.6667,1,0,5.3333,5,1.75,4,4,2.4,3,2.6667,0,8,0,0,2.75,4,5.5,3,7.5,5.6667,1,3.5,0,0,2.6667,3.6667,1.5,2.5,2.75,0,1,7,0,1,3,2,3.5,4,4,5.5,0,4,3,3,6,0,3,3,1.3333,4.75,4,3,1
5.3333,2,6.8333,5,7.25,9,4.6667,0,7.7143,6.5,7.1667,4.4,6,0,0,0,5,0,6.5,6.5,5.6,2,8.5,5.75,7,4,6,6.25,6,0,4.5,3.5,2,6.3333,4.3333,4,7,5,5,6,5,9,4,7,5.25,7.25,8.3333,8.3333,3,6,4,7,2,4.5,2,3,4,8,2,3,4,2.5,4.3333,4,1,6,4,7,5.5,0,3,3,1.5,3,3,4,3,0,3.2,0,2,3.8333,1,7,5.5,0,4,1,4.5,1.5,7,4,5.6,3.5,5,5,4.3333,2.3333,1.3333,4,2,4.75,5.75,0,2,4,4.6667,8,6,5.5,5,6,2.5,6,4.5,1,1,3,4,2.2,4.3333,0,5,4,1,6.5,0,5,3,6,5,4,0,3.8,5,4,2.5,5.5,0,3.6667,7,5.3333,3.5,5,4.5,5.25,6.6667,0,0,6,7,7,4,6,5,0,4,6,4,4.75,5.3333,3,2,4,4,7,6,0,4,4.6667,3,5.75,3.5,7,0,7,6.5,3.6667,6.6667,5,5,6.25,4,4,5.8333,4,7.5,6,1,0,0,6.5,4.5,5.5,0,2,6,4,5,0,0,4.5,3,0,6,2,3.3333,3,7.3333,4.5,7,9,6,0,1.5,3,7,8,1,4.5,8,6.3333,3.6667,5.25,6.5,5,5,4.5,2,6,6,5,2,5.6,0,4,6.5,7,3.6667,5.75,8,4,7,0,6.3333,4,6.6,4,4.5,4.25,3.3333,5,2.5,7,2,0,5.5,2.3333,3,2,3,2,1,3,2.3333,3,2,0,2,2,5,2.3333,4,4,0,6.5,2.3333,0,0,0,4.5,0,2.6,2.5,5,2,4.3333,6,6,1,5,3,1,6,6,2,0,2.5,8,7.3333,5,5.5,0,1,5,4,8.5,3.5,3,7,6.3333,6,6,3,6,4.3333,6,1,5.75,3.3333,6,4,4.5,2.5,3,0,2.5,1,4,6,3.5,1.5,0,3,4,7,1,3.6667,4,5,0,0,2.25,3.5714,3,4,5,1,3.3333,5.5,4.6,0,5,2,9,3.3333,3.6667,6.6667,4,3
6,4.25,7.3333,7.25,6,7.6667,5.3333,7.7143,0,6.7,7.5,3,4.3333,9,9,4.75,0,6.3333,5,7,7.3333,5,5.3333,8.3333,0,4,9,5.3333,0,5,1,2.5,6,4.5,5,4.8,7.5,6,9,7,6,6,3.5,7,0,6,0,9,0,7,5.5,0,0,4,6.6,4.5,3.6667,4,4,2,5,3.4,4,5,2,4,0,2,2,2,5,5,4,3,0,0,5,2.6667,2.6667,4,3.3333,4,4,0,7.3333,3,7,0,5.5,0,4,3,8,8,3,4,0,2.6667,3.6667,6.6667,3,0,4,8,5,3,8,7,4.5,7,0,4,2.5,6,4.6,4.3333,6,8,5.3333,7,5.2,4.75,4.5,4,6.5,5,5.3333,4.3333,5,6.5,4.5,0,4.25,4.6667,4,4.5,5,7,2,3.5,6,5,4,3,4.5,4,3,0,0,0,5.25,0,9,7,7.3333,5,0,8.6667,4.5,3.3333,8,3.5,4,5,6.6667,5.5,6,6.5,5,4,3,8,1,6.5,0,3,5,4,0,4.5,0,0,1,6,6,5,2.5,3.3333,5.75,5.25,5.3333,4,5,4.6667,4.25,1,2.6667,5,6.5,5,3.6667,5,6.6667,5,0,0,4.5,6,2,4,0,7.5,1,1,3,3.3333,6.3333,5,6.5,3,2.5,3.6667,7,5,9,5,2,7,6.6667,4.5,6,6.25,4.5,5.6667,4.5,2,3,0,6,6,0,4,5,0,4.5,6,6,7,6,0,0,5,2,0,8,6,6,0,4.5,3.3333,0,6,4.3333,4,4.5,2,2,4.5,0,4,8,4,3.5,3,0,2,1,6,5,0,0,4,0,4.5,3,3,1,5,2,0,4.3333,0,4.75,7.5,8,0,7,2,3,5,3.5,6,0,6,5.5,2.5,5.3333,6,4.5,8,0,5.3333,0,6,0,0,4,6.5,6,3,5.6667,5,5.5,3,6,5.5,5.6667,8,3.5,0,2.6667,2,1,0,4,3,2.5,0,3,5.6667,1.3333,6,0,4,3.5,3.2,4.6667,2.5,3.6667,5.3333,4,6,3,2.6667,3,5.5,3,0,4,0
4.8,5,4,6.2,6,7,4,6.5,6.7,0,6.25,5.5,9,7.3333,0,0,7,3.5,8.5,0,6,2,8,7,8.5,0,2,7,5.5,6.5,4,4,3.5,0,1,0,7.5,6.25,6,6,0,5.8333,5.3333,7.6667,7.6667,9,7,6,2,4,2.5,2,0,6,4.75,5,1,6.5,3,3,2,4.5,3.5,0,1,1,1,1,4.6667,3.5,2,3,4.25,2.5,1,5,3,5.5,0,4,6,4.3333,2,5,5.6,0,2,1.5,5.5,6,5,1,7.3333,2,6.3333,7.3333,0,0,3.6667,5.25,1,1,4.6667,4.6667,8.5,8,4,7,0,4,3.3333,0,4.2,7,6.5,0,0,0,8.5,0,2,5,4,5.3333,0,7,6,0,8,0,1,2.6667,3,7,5,4.3333,6.5,7,8,2.3333,6,4.6667,4.5,7,0,4,3.5,6,5,3,5.5,4,4.5,0,4.3333,3,0,7,8.5,5,0,6,4,5.3333,0,0,3,4.5,3,2,0,4,2,3,5.5,3,0,5,3,4,3,0,0,6.3333,7,5,0,4,5,4.8,3,3,1,3.6,3.6667,7,3.75,5.6667,0,0,0,8.5,3.5,3.3333,9,6,5.3333,1,2,1,3.5,3.75,5,3,0,2.1667,4,6.25,0,5.75,0,0,5,6.5,7.5,0,5.6667,5.4286,6,4,8,3,5,8.3333,6,2.5,4.25,7,6,4.6667,8,1,5.6667,2,7,5.5,6,5,6.5,0,4,9,1,2.5,4.5,0,2,4.5,4.3333,1.6667,3,3.75,3.5,1.3333,8,2.5,2.5,5,4,1,2.3333,5,4.5,2,0,3.5,5,4,2.5,5.5,4,0,4.5,2.5,6,4,3.5,7.3333,3.6667,3.5,5.25,2,0,3.6667,3,3.5,0,2.5,4,6,6,3.3333,4,0,5,1.5,5.6667,3,3.3333,3.5,5.3333,3.5,4.5,3.3333,3,0,6,7,5,7,0,6,3,9,8,0,5.6667,2.5,2.5,6.6667,5,2.5,3.25,0,0,5,0,3.3333,0,4.5,1,0,2,3,3,4,5.25,0,4,6,3.75,7,0,1.6667,6,2,0,0,1.5,1.5
